time,body,x,y,z,vx,vy,vz,energy_error,angular_momentum_error
0,Body1,-5000000,0,0,0,-20,0,0,0
0,Body2,5000000,0,0,0,20,0,0,0
0,Body3,0,8000000,0,-25,0,0,0,0
1000,Body1,-4999966.430239162,-19999.63740348666,0,0.06713899499831594,-19.99923016346706,0,2.711303833646727e-15,6.531752244213863e-16
1000,Body2,4999966.429420518,20000.27333507717,0,-0.06714145119819143,20.00050202576576,0,2.711303833646727e-15,6.531752244213863e-16
1000,Body3,-24999.91813488108,7999936.406840948,0,-24.99975438001247,-0.1271862298696552,0,2.711303833646727e-15,6.531752244213863e-16
2000,Body1,-4999865.723297427,-39998.37106887378,0,0.1342741273454537,-19.99819252629563,0,5.422607667293453e-15,2.177250748071287e-16
2000,Body2,4999865.716747723,40000.91478994305,0,-0.1342839521655853,20.00073624030745,0,5.422607667293453e-15,2.177250748071287e-16
2000,Body3,-49999.34502909948,7999745.627893074,0,-24.99901751798686,-0.2543714011803252,0,5.422607667293453e-15,2.177250748071287e-16
3000,Body1,-4999697.883740646,-59995.93320461714,0,0.201403990656088,-19.99688710828633,0,1.446028711278254e-14,2.177250748071287e-16
3000,Body2,4999697.861635029,60001.65655717462,0,-0.2014260965787392,20.00070265283903,0,1.446028711278254e-14,2.177250748071287e-16
3000,Body3,-74997.78943786676,7999427.664744251,0,-24.99778940773491,-0.3815544552717782,0,1.446028711278254e-14,2.177250748071287e-16
4000,Body1,-4999462.91754099,-79992.05604380854,0,0.2685271786974721,-19.99531393891055,0,2.651052637343466e-14,8.70900299228515e-16
4000,Body2,4999462.865142071,80002.23084339734,0,-0.2685664783080232,20.0004012822434,0,2.651052637343466e-14,8.70900299228515e-16
4000,Body3,-99994.76010814443,7998982.520041115,0,-24.99607003894496,-0.5087343332812998,0,2.651052637343466e-14,8.70900299228515e-16
5000,Body1,-4999160.832076743,-99986.47185384599,0,0.3356422854760234,-19.99347305730893,0,4.03683015231846e-14,4.354501496142575e-16
5000,Body2,4999160.729734488,100002.369878953,0,-0.3357036915041697,19.99983215706937,0,4.03683015231846e-14,4.354501496142575e-16
5000,Body3,-124989.7657745218,7998410.19748929,0,-24.99385939718548,-0.6359099760424611,0,4.03683015231846e-14,4.354501496142575e-16
6000,Body1,-4998791.63613204,-119978.9129461015,0,0.4027479053238757,-19.99136451228825,0,5.512984461748345e-14,2.177250748071287e-16
6000,Body2,4998791.459283587,120001.8059275635,0,-0.4028363306847807,19.99899531552811,0,5.512984461748345e-14,2.177250748071287e-16
6000,Body3,-149982.3151550988,7997710.70185378,0,-24.99115746390953,-0.7630803239839179,0,5.512984461748345e-14,2.177250748071287e-16
7000,Body1,-4998355.339896468,-139969.1116855854,0,0.4698426329853911,-19.98898836231798,0,7.531399537907574e-14,8.70900299228515e-16
7000,Body2,4998355.059065937,140000.2712959913,0,-0.4699629908207821,19.99789080548824,0,7.531399537907574e-14,8.70900299228515e-16
7000,Body3,-174971.9169473729,7996884.038959403,0,-24.98796421646088,-0.8902443170282192,0,7.531399537907574e-14,8.70900299228515e-16
8000,Body1,-4997851.954964647,-159956.8005006072,0,0.5369250637036185,-19.98634467552528,0,1.036320576416082e-13,1.088625374035644e-15
8000,Body2,4997851.53576289,159997.4983436937,0,-0.5370822674228033,19.99651868447017,0,1.036320576416082e-13,1.088625374035644e-15
8000,Body3,-199958.0798241339,7995930.215691333,0,-24.9842796280814,-1.01740089449066,0,1.036320576416082e-13,1.088625374035644e-15
9000,Body1,-4997281.494335652,-179941.7118924298,0,0.6039937933066835,-19.98343352968959,0,1.295400720520103e-13,4.354501496142575e-16
9000,Body2,4997280.897459948,179993.2194924716,0,-0.604192756627485,19.99487901963931,0,1.295400720520103e-13,4.354501496142575e-16
9000,Body3,-224940.3124293659,7994849.239995787,0,-24.98010366791955,-1.144548994978168,0,1.295400720520103e-13,4.354501496142575e-16
10000,Body1,-4996643.97241241,-199923.5784449191,0,0.6710474182941009,-19.98025501223598,0,1.611719501112221e-13,6.531752244213863e-16
10000,Body2,4996643.153646152,199987.167236111,0,-0.6712930552836924,19.99297188779885,0,1.611719501112221e-13,6.531752244213863e-16
10000,Body3,-249918.1233741592,7993641.120880778,0,-24.97543630104054,-1.271687556288228,0,1.611719501112221e-13,6.531752244213863e-16
11000,Body1,-4995939.405000969,-219902.1328341857,0,0.7380845359229969,-19.9768092202277,0,1.928038281704339e-13,0
11000,Body2,4995938.315213304,219979.0741500159,0,-0.7383817610386166,19.99079737538074,0,1.928038281704339e-13,0
11000,Body3,-274891.0212326323,7992305.868416945,0,-24.97027748843767,-1.398815515307868,0,1.928038281704339e-13,0
12000,Body1,-4995167.809309726,-239877.1078382191,0,0.8051037442942254,-19.9730962603576,0,2.274482660448087e-13,6.531752244213863e-16
12000,Body2,4995166.394455112,239968.6729008332,0,-0.8054574724237742,19.9883555784367,0,2.274482660448087e-13,6.531752244213863e-16
12000,Body3,-299858.5145378663,7990843.493738564,0,-24.96462718704491,-1.525931807912691,0,2.274482660448087e-13,6.531752244213863e-16
13000,Body1,-4994329.203948489,-259848.2363465129,0,0.8721036424383735,-19.96911624893893,0,2.708291273831564e-13,4.354501496142575e-16
13000,Body2,4994327.405066282,259955.6962560668,0,-0.8725187889408613,19.98564660262758,0,2.708291273831564e-13,4.354501496142575e-16
13000,Body3,-324820.1117778512,7989254.009044567,0,-24.95848534975105,-1.653035368865976,0,2.708291273831564e-13,4.354501496142575e-16
14000,Body1,-4993423.608927561,-279815.2513696793,0,0.9390828304016382,-19.96486931189484,0,3.133062207769551e-13,4.354501496142575e-16
14000,Body2,4993421.362141486,279939.8770936816,0,-0.9395643111474853,19.98267056321198,0,3.133062207769551e-13,4.354501496142575e-16
14000,Body3,-349775.3213914516,7987537.427599722,0,-24.95185192541497,-1.780125131717853,0,3.133062207769551e-13,4.354501496142575e-16
15000,Body1,-4992451.045656644,-299777.8860490543,0,1.00603990933156,-19.96035558474719,0,3.60904665856531e-13,8.70900299228515e-16
15000,Body2,4992448.282174297,299920.948411695,0,-1.006592640742732,19.97942758503418,0,3.60904665856531e-13,8.70900299228515e-16
15000,Body3,-374723.6517643815,7985693.763735906,0,-24.94472685888265,-1.907200028704539,0,3.60904665856531e-13,8.70900299228515e-16
16000,Body1,-4991411.536943699,-319735.8736662905,0,1.072973481562615,-19.95557521260443,0,4.127206946773351e-13,1.306350448842773e-15
